date,fam,magnitude
2017-11-13T03:20:54.150000Z,03,2.357
2017-11-13T03:23:58.400000Z,03,2.213
2017-11-13T05:40:19.650000Z,02,1.522
2017-11-13T05:40:19.650000Z,02,2.202
2017-11-13T06:47:39.375000Z,13,2.574
2017-11-13T06:52:22.225000Z,05,1.988
2017-11-13T07:40:50.550000Z,03,1.999
2017-11-13T07:54:03.075000Z,02,2.383
2017-11-13T08:10:56.125000Z,05,3.079
2017-11-13T08:14:58.825000Z,03,3.74
2017-11-13T10:06:04.075000Z,10,2.23
2017-11-13T10:55:17.550000Z,16,2.626
2017-11-13T11:06:07.075000Z,02,2.306
2017-11-13T11:27:05.950000Z,02,2.439
2017-11-13T11:27:05.950000Z,02,3.12
2017-11-13T11:46:03.400000Z,02,2.031
2017-11-13T11:50:58.525000Z,02,3.93
2017-11-13T11:55:00.200000Z,15,2.521
2017-11-13T12:05:53.300000Z,02,3.557
2017-11-13T12:09:42.825000Z,02,2.37
2017-11-13T12:10:24.225000Z,02,2.36
2017-11-13T12:53:14.825000Z,02,2.194
2017-11-13T12:54:01.100000Z,02,2.264
2017-11-13T14:24:14.900000Z,15,2.7
2017-11-13T15:06:49.325000Z,02,1.116
2017-11-13T15:06:49.325000Z,02,1.796
2017-11-13T16:26:55.475000Z,02,1.789
2017-11-13T19:00:55.475000Z,02,3.709
2017-11-13T19:08:15.550000Z,02,2.179
2017-11-13T21:28:27.200000Z,13,3.2872892448224382
2017-11-14T06:38:17.025000Z,11,2.063
2017-11-14T06:38:17.050000Z,01,1.985
2017-11-14T06:39:11.750000Z,01,2.601
2017-11-14T22:57:28.500000Z,01,1.909
2017-11-14T22:57:29.000000Z,01,2.35
2017-11-16T21:47:35.325000Z,13,2.451
2017-11-19T11:46:31.925000Z,13,1.423
2017-11-22T02:17:25.375000Z,03,1.588
2017-11-22T03:44:16.825000Z,03,1.192
2017-11-24T08:29:23.325000Z,02,1.023
2017-11-24T16:18:55.225000Z,01,2.192
2017-11-26T09:36:36.925000Z,05,2.685
2017-11-26T10:48:57.125000Z,09,2.388
2017-11-28T04:44:34.700000Z,13,2.0295290958125403
2017-12-02T06:12:25.925000Z,03,1.141
2017-12-05T08:16:31.900000Z,02,1.9
2017-12-07T22:03:30.550000Z,08,3.59
2017-12-09T06:55:49.575000Z,02,2.27
2017-12-09T07:05:34.025000Z,02,1.633
2017-12-16T07:18:40.375000Z,02,1.906
2017-12-16T07:18:40.375000Z,02,2.586
2017-12-16T10:18:54.900000Z,05,2.864
2017-12-16T14:03:12.350000Z,06,3.118
2017-12-26T04:24:05.150000Z,01,2.208
